Value,strHistologyBehaviour,Preferred,label,,
8000,0,TRUE,"Neoplasm, benign",,
8000,0,FALSE,"Tumor, benign",,
8000,0,FALSE,"Tumor, benign, unclassified",,
8000,0,FALSE,"Tumor, unclassified, benign",,
8000,0,FALSE,"Unclassified tumor, benign",,
8000,1,TRUE,"Neoplasm, uncertain whether benign or malignant",,
8000,1,FALSE,"Neoplasm, NOS",,
8000,1,FALSE,"Tumor, NOS",,
8000,1,FALSE,"Tumor, unclassified, borderline malignancy",,
8000,1,FALSE,"Tumor, unclassified, uncertain whether benign or malignant",,
8000,1,FALSE,"Unclassified tumor, borderline malignancy",,
8000,1,FALSE,"Unclassified tumor, uncertain whether benign or malignant",,
8000,3,TRUE,"Neoplasm, malignant",,
8000,3,FALSE,"Blastoma, NOS",,
8000,3,FALSE,"Cancer [see coding guidelines, page 27 of ICD-O-3 manual]",,
8000,3,FALSE,Malignancy,,
8000,3,FALSE,"Tumor, malignant, NOS",,
8000,3,FALSE,"Tumor, malignant, unclassified",,
8000,3,FALSE,"Tumor, unclassified, malignant",,
8000,3,FALSE,"Unclassified tumor, malignant",,
8000,6,TRUE,"Neoplasm, metastatic",,
8000,6,FALSE,"Embolus, tumor",,
8000,6,FALSE,Metastatic neoplasm,,
8000,6,FALSE,Metastatic tumor,,
8000,6,FALSE,"Neoplasm, secondary",,
8000,6,FALSE,Secondary neoplasm,,
8000,6,FALSE,Secondary tumor,,
8000,6,FALSE,Tumor embolus,,
8000,6,FALSE,"Tumor, metastatic",,
8000,6,FALSE,"Tumor, secondary",,
8000,9,TRUE,"Neoplasm, malignant, uncertain whether primary or metastatic",,
8000,9,FALSE,"Tumor, malignant, unclassified, uncertain whether primary or metastatic",,
8000,9,FALSE,"Tumor, unclassified, malignant, uncertain whether primary or metastatic",,
8000,9,FALSE,"Unclassified tumor, malignant, uncertain whether primary or metastatic",,
8001,0,TRUE,"Tumor cells, benign",,
8001,1,TRUE,"Tumor cells, uncertain whether benign or malignant",,
8001,1,FALSE,"Tumor cells, NOS",,
8001,3,TRUE,"Tumor cells, malignant",,
8002,3,TRUE,"Malignant tumor, small cell type",,
8002,3,FALSE,"Small cell type, malignant tumor",,
8002,3,FALSE,"Tumor, malignant, small cell type",,
8002,3,FALSE,"Tumor, small cell type, malignant",,
8003,3,TRUE,"Malignant tumor, giant cell type",,
8003,3,FALSE,"Giant cell type, malignant tumor",,
8003,3,FALSE,"Tumor, giant cell type, malignant",,
8003,3,FALSE,"Tumor, malignant, giant cell type",,
8004,3,TRUE,"Malignant tumor, spindle cell type",,
8004,3,FALSE,"Fusiform cell type, malignant tumor",,
8004,3,FALSE,"Malignant tumor, fusiform cell type",,
8004,3,FALSE,"Spindle cell type, malignant tumor",,
