icdo3_code,name
94403,"9440/3 Glioblastoma, IDH-wildtype"
94211,"9421/1 Diffuse astrocytoma, MYB- or MYBL1-altered"
94311,9431/1 Angiocentric glioma
94130,9413/0 Polymorphous low-grade neuroepithelial tumor of the young
94211,"9421/1 Diffuse low-grade glioma, MAPK pathway-altered"
93853,"9385/3 Diffuse midline glioma, H3 K27-altered"
93853,"9385/3 Diffuse hemispheric glioma, H3 G34-mutant"
93853,"9385/3 Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype"
93853,9385/3 Infant-type hemispheric glioma
94211,9421/1 Pilocytic astrocytoma
94213,9421/3 High-grade astrocytoma with piloid features
94243,9424/3 Pleomorphic xanthoastrocytoma
93841,9384/1 Subependymal giant cell astrocytoma
94441,9444/1 Chordoid glioma
94303,"9430/3 Astroblastoma, MN1-altered"
95051,9505/1 Ganglioglioma
94920,9492/0 Gangliocytoma
94121,9412/1 Desmoplastic infantile ganglioglioma
94121,9412/1 Desmoplastic infantile astrocytoma
94130,9413/0 Dysembryoplastic neuroepithelial tumor
95091,9509/1 Papillary glioneuronal tumor
95091,9509/1 Rosette-forming glioneuronal tumor
95091,9509/1 Myxoid glioneuronal tumor
95093,9509/3 Diffuse leptomeningeal glioneuronal tumor
94090,9409/0 Multinodular and vacuolating neuronal tumor
94930,9493/0 Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease)
95061,9506/1 Central neurocytoma
95061,9506/1 Extraventricular neurocytoma
95061,9506/1 Cerebellar liponeurocytoma
93913,"9391/3 Supratentorial ependymoma, NOS"
93963,"9396/3 Supratentorial ependymoma, ZFTA fusion-positive"
93963,"9396/3 Supratentorial ependymoma, YAP1 fusion-positive"
93913,"9391/3 Posterior fossa ependymoma, NOS"
93963,9396/3 Posterior fossa group A (PFA) ependymoma
93963,9396/3 Posterior fossa group B (PFB) ependymoma
93913,"9391/3 Spinal ependymoma, NOS"
93963,"9396/3 Spinal ependymoma, MYCN-amplified"
93941,9394/1 Myxopapillary ependymoma
93831,9383/1 Subependymoma
93900,9390/0 Choroid plexus papilloma
93901,9390/1 Atypical choroid plexus papilloma
93903,9390/3 Choroid plexus carcinoma
94753,"9475/3 Medulloblastoma, WNT-activated"
94713,"9471/3 Medulloblastoma, SHH-activated and TP53-wildtype"
94763,"9476/3 Medulloblastoma, SHH-activated and TP53-mutant"
94773,"9477/3  Medulloblastoma, non-WNT/non-SHH"
94703,"9470/3 Medulloblastoma, histologically defined"
94713,9471/3 Desmoplastic nodular medulloblastoma
94713,9471/3 Medulloblastoma with extensive nodularity
94743,9474/3 Large cell medulloblastoma
95083,9508/3 Atypical teratoid/rhabdoid tumor
94783,9478/3  Embryonal tumor with multilayered rosettes
95003,"9500/3 CNS neuroblastoma, FOXR2-activated"
95003,9500/3 CNS tumor with BCOR internal tandem duplication
94733,"9473/3 CNS embryonal tumor, NEC/NOS"
93611,9361/1 Pineocytoma
93623,9362/3 Pineal parenchymal tumor of intermediate differentiation
93623,9362/3 Pineoblastoma
93953,9395/3 Papillary tumor of the pineal region
