"category","icdo3_code","icdo3_description","icdo3_synonym_description"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","cavernous"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","clival"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","condylar"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","ethmoid"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","orbital"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","sphenoid"
"primary cns site","C41.0","bones of skull and face and associated joints (C41.0)","sphenoid wing"
"primary cns site","C70.1","spinal meninges (C70.1)","intradural"
"primary cns site","C70.1","spinal meninges (C70.1)","intradural extramedullary"
"primary cns site","C70.1","spinal meninges (C70.1)","intramedullary"
"primary cns site","C70.9","meninges (C70.9)","convexity"
"primary cns site","C70.9","meninges (C70.9)","membrane"
"primary cns site","C71.0","cerebrum (C71.0)","insular"
"primary cns site","C71.0","cerebrum (C71.0)","perithalamic"
"primary cns site","C71.0","cerebrum (C71.0)","thalamic"
"primary cns site","C71.1","frontal lobe (C71.1)","bifrontal"
"primary cns site","C71.1","frontal lobe (C71.1)","frontal"
"primary cns site","C71.1","frontal lobe (C71.1)","frontoparietal"
"primary cns site","C71.2","temporal lobe (C71.2)","temporal"
"primary cns site","C71.3","parietal lobe (C71.3)","frontoparietal"
"primary cns site","C71.3","parietal lobe (C71.3)","parietal"
"primary cns site","C71.4","occipital lobe (C71.4)","occipital"
"primary cns site","C71.4","occipital lobe (C71.4)","suboccipital"
"primary cns site","C71.5","ventricle (C71.5)","intraventricular"
"primary cns site","C71.5","ventricle (C71.5)","ventricular"
"primary cns site","C71.6","cerebellum (C71.6)","cerebellar"
"primary cns site","C71.6","cerebellum (C71.6)","cerebropontine"
"primary cns site","C71.6","cerebellum (C71.6)","cp angle"
"primary cns site","C71.6","cerebellum (C71.6)","cp angle tumor"
"primary cns site","C71.7","brain stem (C71.7)","brainstem"
"primary cns site","C71.7","brain stem (C71.7)","tectal"
"primary cns site","C71.8","overlapping lesion of brain (C71.8)","splenium"
"primary cns site","C71.9","brain (C71.9)","caudate"
"primary cns site","C71.9","brain (C71.9)","cranial base"
"primary cns site","C71.9","brain (C71.9)","fossa"
"primary cns site","C71.9","brain (C71.9)","posterior fossa"
"primary cns site","C72.0","spinal cord (C72.0)","c1"
"primary cns site","C72.0","spinal cord (C72.0)","c2"
"primary cns site","C72.0","spinal cord (C72.0)","c3"
"primary cns site","C72.0","spinal cord (C72.0)","c4"
"primary cns site","C72.0","spinal cord (C72.0)","c5"
"primary cns site","C72.0","spinal cord (C72.0)","c6"
"primary cns site","C72.0","spinal cord (C72.0)","c7"
"primary cns site","C72.0","spinal cord (C72.0)","cervical"
"primary cns site","C72.0","spinal cord (C72.0)","l1"
"primary cns site","C72.0","spinal cord (C72.0)","l2"
"primary cns site","C72.0","spinal cord (C72.0)","l3"
"primary cns site","C72.0","spinal cord (C72.0)","l4"
"primary cns site","C72.0","spinal cord (C72.0)","lumbar"
"primary cns site","C72.0","spinal cord (C72.0)","medullary"
