icdo3_code,icdo3_code_synonym_description
"astrocytoma, idh-mutant","astrocytoma, idh-mutant, who grade 3"
"astrocytoma, idh-mutant","atrocytoma, idh-mutant, who grade 4"
"9421/3","anaplastic astrocytoma"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant, 1p/19q co-deleted, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant, 1p/19q co-deleted, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant, 1p/19q co-deletion, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant, 1p/19q co-deletion, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant and 1p/19q co-deleted, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant and 1p/19q co-deleted, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant and 1p/19q co-deletion, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, idh-mutant and 1p/19q co-deletion, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deleted, idh-mutant, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deleted, idh-mutant, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deletion, idh-mutant, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deletion, idh-mutant, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deleted and idh-mutant, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deleted and idh-mutant, who grade 3"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deletion and idh-mutant, who grade 2"
"oligodendroglioma, idh-mutant and 1p/19q-codeleted","oligodendroglioma, 1p/19q co-deletion and idh-mutant, who grade 3"
"8272/3","pituitary adenoma"
"8693/3","paraganglioma"
