"category","icdo3_code","icdo3_description","icdo3_synonym_description"
"primary site","C25.9","pancreas (C25.9)","sma margin"
"primary site","C48.1","specified parts of peritoneum (C48.1)","omental"
"primary site","C57.0","fallopian tube (C57.0)","fallopian tubes"
"primary site","C57.4","uterine adnexa (C57.4)","adnexal"
"primary site","C53.9","cervix uteri (c53.9)","Left inferior (posterior) quadrant (3 to 6 o’clock)"
"primary site","C53.9","cervix uteri (c53.9)","Left superior (anterior) quadrant (12 to 3 o’clock)"
"primary site","C53.9","cervix uteri (c53.9)","Right inferior (posterior) quadrant (6 to 9 o’clock)"
"primary site","C53.9","cervix uteri (c53.9)","Right superior (anterior) quadrant (9 to 12 o’clock)"
"primary site","C57.0","fallopian tube (c57.0)","Bilateral fallopian tubes"
"primary site","C57.0","fallopian tube (c57.0)","Fallopian tube, laterality cannot be determined (explain)"
"primary site","C57.0","fallopian tube (c57.0)","Left fallopian tube"
"primary site","C57.0","fallopian tube (c57.0)","Right fallopian tube"
"primary site","C48.1","specified parts of peritoneum (c48.1)","Primary peritoneum"
"primary site","C56.9","ovary (c56.9)","Bilateral ovaries"
"primary site","C56.9","ovary (c56.9)","Left ovary"
"primary site","C56.9","ovary (c56.9)","Ovary, laterality cannot be determined (explain)"
"primary site","C56.9","ovary (c56.9)","Right ovary"
"primary site","C56.9","ovary (c56.9)","ovaries"
"primary site","C53.9","cervix uteri (c53.9)","cervical"
